State,Latitude,Longitude,reduced,reduced,concat
Alabama,32.806671,-86.79113,32,-86,32-86
Alaska,61.370716,-152.404419,61,-15,61-15
Arizona,33.729759,-111.431221,33,-11,33-11
Arkansas,34.969704,-92.373123,34,-92,34-92
California,36.116203,-119.681564,36,-11,36-11
Colorado,39.059811,-105.311104,39,-10,39-10
Connecticut,41.597782,-72.755371,41,-72,41-72
Delaware,39.318523,-75.507141,39,-75,39-75
District of Columbia,38.897438,-77.026817,38,-77,38-77
Florida,27.766279,-81.686783,27,-81,27-81
Georgia,33.040619,-83.643074,33,-83,33-83
Hawaii,21.094318,-157.498337,21,-15,21-15
Idaho,44.240459,-114.478828,44,-11,44-11
Illinois,40.349457,-88.986137,40,-88,40-88
Indiana,39.849426,-86.258278,39,-86,39-86
Iowa,42.011539,-93.210526,42,-93,42-93
Kansas,38.5266,-96.726486,38,-96,38-96
Kentucky,37.66814,-84.670067,37,-84,37-84
Louisiana,31.169546,-91.867805,31,-91,31-91
Maine,44.693947,-69.381927,44,-69,44-69
Maryland,39.063946,-76.802101,39,-76,39-76
Massachusetts,42.230171,-71.530106,42,-71,42-71
Michigan,43.326618,-84.536095,43,-84,43-84
Minnesota,45.694454,-93.900192,45,-93,45-93
Mississippi,32.741646,-89.678696,32,-89,32-89
Missouri,38.456085,-92.288368,38,-92,38-92
Montana,46.921925,-110.454353,46,-11,46-11
Nebraska,41.12537,-98.268082,41,-98,41-98
Nevada,38.313515,-117.055374,38,-11,38-11
New Hampshire,43.452492,-71.563896,43,-71,43-71
New Jersey,40.298904,-74.521011,40,-74,40-74
New Mexico,34.840515,-106.248482,34,-10,34-10
New York,42.165726,-74.948051,42,-74,42-74
North Carolina,35.630066,-79.806419,35,-79,35-79
North Dakota,47.528912,-99.784012,47,-99,47-99
Ohio,40.388783,-82.764915,40,-82,40-82
Oklahoma,35.565342,-96.928917,35,-96,35-96
Oregon,44.572021,-122.070938,44,-12,44-12
Pennsylvania,40.590752,-77.209755,40,-77,40-77
Rhode Island,41.680893,-71.51178,41,-71,41-71
South Carolina,33.856892,-80.945007,33,-80,33-80
South Dakota,44.299782,-99.438828,44,-99,44-99
Tennessee,35.747845,-86.692345,35,-86,35-86
Texas,31.054487,-97.563461,31,-97,31-97
Utah,40.150032,-111.862434,40,-11,40-11
Vermont,44.045876,-72.710686,44,-72,44-72
Virginia,37.769337,-78.169968,37,-78,37-78
Washington,47.400902,-121.490494,47,-12,47-12
West Virginia,38.491226,-80.954453,38,-80,38-80
Wisconsin,44.268543,-89.616508,44,-89,44-89
Wyoming,42.755966,-107.30249,42,-10,42-10
